Appliances-Score,Appliances-Text,Appliances-Text_Negative,Appliances-Text_Neutral,Appliances-Text_Positive,Appliances_label
,fthg,0.3729844093,0.4980672598,0.1289483756,
,,0.2395021617,0.5281888247,0.0,
,,0.2395021617,0.5281888247,0.0,
,as,0.2486780584,0.5211014748,0.2302204221,
7.0,dfgdfgdfg,0.4389230907,0.4884407818,0.0726361796,Detractor
,cxvxcv,0.2275469303,0.5740814805,0.1983716339,
,,0.2395021617,0.5281888247,0.0,
,,0.2395021617,0.5281888247,0.0,
,123,,,,
9.0,23,,,,
9.0,hjhjhj,0.1718549132,0.7170999646,0.1110451519,Revised Detractor
7.0,9+++,0.0661236793,0.7972933054,0.1365830153,Detractor
6.0,nknk,0.2657080293,0.5271977186,0.2070943117,Detractor
,,0.2395021617,0.5281888247,0.0,
9.0,asas,0.2611137033,0.5221974254,0.2166889012,Revised Detractor
,,0.2395021617,0.5281888247,0.0,
9.0,jdjjdjdjjd,0.2284929156,0.6759001017,0.0956069604,Revised Detractor
,,0.2395021617,0.5281888247,0.0,
9.0,daw,0.2664657831,0.5106932521,0.2228410095,Revised Detractor
6.0,Nothing,0.3022766709,0.5676094294,0.1301138997,Detractor
,,0.2395021617,0.5281888247,0.0,
,,0.2395021617,0.5281888247,0.0,
,,0.2395021617,0.5281888247,0.0,
8.0,good product,0.0112398714,0.101536274,0.8872238398,Promoter
7.0,because of its durability,0.064947769,0.7046868801,0.2303652912,Detractor
,,0.2395021617,0.5281888247,0.0,
9.0,It is a premium brand .,0.0254012048,0.6194480658,0.3551506698,Revised Detractor
,,0.2395021617,0.5281888247,0.0,
,,0.2395021617,0.5281888247,0.0,
6.0,this is what I heard about it,0.0970541015,0.8383054137,0.0646404773,Detractor
,,0.2395021617,0.5281888247,0.0,
,,0.2395021617,0.5281888247,0.0,
,,0.2395021617,0.5281888247,0.0,
7.0,Service & availability is poor.,0.9186304212,0.0749142915,0.0064552655,Detractor
,,0.2395021617,0.5281888247,0.0,
8.0,It is best quality products ,0.0115446784,0.1374004185,0.8510549068,Promoter
,,0.2395021617,0.5281888247,0.0,
,,0.2395021617,0.5281888247,0.0,
2.0,"Because it is bad
",0.9087895155,0.084595792,0.0066146711,Detractor
,,0.2395021617,0.5281888247,0.0,
9.0,Because it is a very good company and i like this compaany very much,0.0014893916,0.0106189512,0.987891674,Promoter
,,0.2395021617,0.5281888247,0.0,
5.0,"because of it's after sales services, not having wide range of products",0.6591442227,0.3218935728,0.0189622417,Detractor
9.0,7,,,,
7.0,Because I have used it's products and according to my experience I have rated it,0.0483225733,0.7432749271,0.2084024996,Detractor
9.0,I prefer other brands,0.0794794932,0.6071377993,0.313382715,Revised Detractor
8.0,"I heard from my friend, personally don't used.",0.2388327569,0.7205391526,0.0406281501,Detractor
8.0,Their products are good but lack in finish look.,0.3575182259,0.4331766069,0.209305197,Detractor
10.0,it is a reputed company,0.0723135248,0.8190432191,0.1086433157,Revised Detractor
9.0,Vdvdv dvdvdv fbfbfb f fbdvdvcfbfbd C fbfh,0.1960713565,0.7306421995,0.0732864067,Revised Detractor
,,0.2395021617,0.5281888247,0.0,
9.0,Its a great brand and I love the locks and I have so many furnitres ,0.0016767646,0.0096097495,0.9887135029,Promoter
10.0,Because I satisfied with thieir products ,0.0205603037,0.2783353627,0.7011043429,Promoter
8.0,It is trustworthy brand and it is in market for longer time,0.0041188886,0.233006373,0.7628747225,Promoter
9.0,Its worth,0.0661995858,0.587826848,0.3459735811,Revised Detractor
,,0.2395021617,0.5281888247,0.0,
,,0.2395021617,0.5281888247,0.0,
6.0,I'm not interested in that brand ,0.8962250352,0.096389547,0.0073854239,Detractor
,,0.2395021617,0.5281888247,0.0,
,,0.2395021617,0.5281888247,0.0,
,,0.2395021617,0.5281888247,0.0,
,,0.2395021617,0.5281888247,0.0,
,,0.2395021617,0.5281888247,0.0,
,,0.2395021617,0.5281888247,0.0,
,,0.2395021617,0.5281888247,0.0,
,,0.2395021617,0.5281888247,0.0,
,,0.2395021617,0.5281888247,0.0,
,,0.2395021617,0.5281888247,0.0,
,,0.2395021617,0.5281888247,0.0,
,,0.2395021617,0.5281888247,0.0,
,,0.2395021617,0.5281888247,0.0,
10.0,I like the quality of their products.,0.0047049569,0.0527970083,0.9424980879,Promoter
10.0,Since childhood my life revolves around godrej brand products n every indian household is dependent on this brand n fortunately it's international brand now,0.0236819629,0.4155109227,0.5608071089,Promoter
9.0,ITS NOT THAT PREMIUM.,0.5915668011,0.3669972718,0.0414359346,Revised Detractor
,,0.2395021617,0.5281888247,0.0,
,,0.2395021617,0.5281888247,0.0,
,,0.2395021617,0.5281888247,0.0,
,,0.2395021617,0.5281888247,0.0,
10.0,Well designed good qulity nice looks easy to use ,0.0049081608,0.0403760225,0.954715848,Promoter
10.0,quality of product is good,0.0061393278,0.0626186803,0.9312419295,Promoter
7.0,6,,,,
8.0,Good tho,0.014910372,0.2311340719,0.7539556026,Promoter
9.0,This is best products brand experience with me ,0.0025794846,0.0359313823,0.961489141,Promoter
9.0,Because godrej is trusted and valuable brand it's provoid best products,0.0037215012,0.091568917,0.904709518,Promoter
8.0,It's very reliable and efficient ,0.0041409,0.0821519941,0.9137071371,Promoter
,,0.2395021617,0.5281888247,0.0,
,,0.2395021617,0.5281888247,0.0,
,,0.2395021617,0.5281888247,0.0,
10.0,Because I like its products and services so badly ,0.1848511994,0.3085160851,0.5066326857,Promoter
,,0.2395021617,0.5281888247,0.0,
,,0.2395021617,0.5281888247,0.0,
,,0.2395021617,0.5281888247,0.0,
5.0,Godrej is best and friendly brand ,0.0039242627,0.1013220549,0.8947536349,Revised Promoter
,,0.2395021617,0.5281888247,0.0,
,,0.2395021617,0.5281888247,0.0,
,,0.2395021617,0.5281888247,0.0,
,,0.2395021617,0.5281888247,0.0,
0.0,Godrej is not have good reviews and features,0.6017704606,0.3685463071,0.0296831671,Detractor
,,0.2395021617,0.5281888247,0.0,
,,0.2395021617,0.5281888247,0.0,
,,0.2395021617,0.5281888247,0.0,
,,0.2395021617,0.5281888247,0.0,
,,0.2395021617,0.5281888247,0.0,
,,0.2395021617,0.5281888247,0.0,
7.0,Iit is not convinent to me technology is very poor it not innovating,0.9268001318,0.0685325861,0.0046672267,Detractor
,,0.2395021617,0.5281888247,0.0,
8.0,Product working good condition,0.0100683989,0.2214727998,0.7684588432,Promoter
5.0,Because i can not see any advertisiment and anybody can not talk for this brand,0.8692167997,0.1250606924,0.0057224212,Detractor
8.0,Its kind of old brand but its good and its products are also fine,0.0024483593,0.0320432149,0.965508461,Promoter
,,0.2395021617,0.5281888247,0.0,
10.0,Excellent as per feedback of friends,0.0114204912,0.3783072233,0.6102722883,Promoter
,,0.2395021617,0.5281888247,0.0,
,,0.2395021617,0.5281888247,0.0,
9.0,"Godrej products are innovative, excellence to the real estate industry ",0.0030566962,0.1014318466,0.895511508,Promoter
8.0,Godrej is one of the durable and quality brand. I have previously owned their products and i trust the brand.,0.0023400488,0.0674532428,0.9302067161,Promoter
9.0,"Their products are soo good and they are very famous for that and i trust them very much
",0.0015746866,0.0089004934,0.9895248413,Promoter
,,0.2395021617,0.5281888247,0.0,
,,0.2395021617,0.5281888247,0.0,
,,0.2395021617,0.5281888247,0.0,
,,0.2395021617,0.5281888247,0.0,
,,0.2395021617,0.5281888247,0.0,
10.0,Nice brand ,0.025778614,0.2256883532,0.7485330701,Promoter
,,0.2395021617,0.5281888247,0.0,
,,0.2395021617,0.5281888247,0.0,
5.0,Because godrej is also good company.,0.0066732559,0.1494962871,0.8438304663,Revised Promoter
,,0.2395021617,0.5281888247,0.0,
10.0,Godrej is most popular,0.0097704111,0.2071526051,0.7830770016,Promoter
10.0,80 out of 100,0.0846190155,0.8088457584,0.1065352261,Revised Detractor
,,0.2395021617,0.5281888247,0.0,
