Interio-Score,Interio-Text,Interio-Text_Negative,Interio-Text_Neutral,Interio-Text_Positive,Interio_label
0.0,,0.2395021617,0.5281888247,0.0,Detractor
,,0.2395021617,0.5281888247,0.0,
,,0.2395021617,0.5281888247,0.0,
,,0.2395021617,0.5281888247,0.0,
8.0,,0.2395021617,0.5281888247,0.0,Detractor
,,0.2395021617,0.5281888247,0.0,
,,0.2395021617,0.5281888247,0.0,
,,0.2395021617,0.5281888247,0.0,
8.0,,0.2395021617,0.5281888247,0.0,Detractor
,,0.2395021617,0.5281888247,0.0,
,,0.2395021617,0.5281888247,0.0,
,,0.2395021617,0.5281888247,0.0,
,,0.2395021617,0.5281888247,0.0,
9.0,as,0.2486780584,0.5211014748,0.2302204221,Revised Detractor
,,0.2395021617,0.5281888247,0.0,
,,0.2395021617,0.5281888247,0.0,
,,0.2395021617,0.5281888247,0.0,
,,0.2395021617,0.5281888247,0.0,
,,0.2395021617,0.5281888247,0.0,
,,0.2395021617,0.5281888247,0.0,
10.0,"I like their product quality, always feel very strong and durable at a reasonable price
",0.002490968,0.0194268245,0.97808218,Promoter
5.0,Because it gives me good services,0.0122347707,0.1092585921,0.8785066605,Revised Promoter
,,0.2395021617,0.5281888247,0.0,
9.0,good product,0.0112398714,0.101536274,0.8872238398,Promoter
,,0.2395021617,0.5281888247,0.0,
,,0.2395021617,0.5281888247,0.0,
,,0.2395021617,0.5281888247,0.0,
,,0.2395021617,0.5281888247,0.0,
,,0.2395021617,0.5281888247,0.0,
,,0.2395021617,0.5281888247,0.0,
10.0,Because they provide very modern and good looking furniture,0.0035834291,0.0567703247,0.939646244,Promoter
10.0,Because it is a very good brand and trustworthy ,0.0029607124,0.0526548177,0.9443844557,Promoter
10.0,This is very trusted brand,0.005233625,0.1902023256,0.8045639992,Promoter
,,0.2395021617,0.5281888247,0.0,
10.0,Because I use Godrej ,0.0603015162,0.7795829773,0.1601155102,Revised Detractor
,,0.2395021617,0.5281888247,0.0,
8.0,Because it’s so nice ,0.003207044,0.027593676,0.9691992998,Promoter
