Unnamed: 0,StartDate,EndDate,ResponseId,Appliances-Score,Appliances-Text,Locks-Score,Locks-Text,Interio-Score,Interio-Text,Security-Score,Security-Text,City,Age,Gender,Education,NCCS categorization,Occupation,Household Income,Marrital Status,Household Ages,Household Volume,Appliances-Text_Negative,Appliances-Text_Neutral,Appliances-Text_Positive,Locks-Text_Negative,Locks-Text_Neutral,Locks-Text_Positive,Interio-Text_Negative,Interio-Text_Neutral,Interio-Text_Positive,Security-Text_Negative,Security-Text_Neutral,Security-Text_Positive,Appliances_label,Locks_label,Interio_label,Security_label
26,05-10-22 9:32,05-10-22 9:38,R_2tgGZaeZcZrNLhI,8,good product,,,9,good product,,,New Delhi NCR,31-35,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Air Conditioner",Executive-Middle/ Senior management,5-10 Lacs,"Married, no kids ",,,0.011239871,0.101536274,0.88722384,0,0.528188825,0,0.011239871,0.101536274,0.88722384,0,0.528188825,0,Positive,,Positive,
27,05-10-22 9:34,05-10-22 9:39,R_3HTTYnSTBMbZw0U,7,because of its durability,,,,,,,Chennai,22-25,Female,Some College (Incl Diploma) but not Grad ,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Refrigerator,Washing machine,Personal computer/ Laptop",Unemployed,,"Single (includes divorced/ widowed), no kids ",,,0.064947769,0.70468688,0.230365291,0,0.528188825,0,0,0.528188825,0,0,0.528188825,0,Neutral,,,
28,05-10-22 9:35,05-10-22 9:39,R_6nHYAxHP7rLeGXL,,,,,,,,,New Delhi NCR,22-25,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Business owner or Industrialist with 50 or more employees,5-10 Lacs,"Married, no kids ",,,0,0.528188825,0,0,0.528188825,0,0,0.528188825,0,0,0.528188825,0,,,,
29,05-10-22 9:32,05-10-22 9:39,R_pxZERepvuKv9wcN,9,It is a premium brand .,10,It is high quality brand ,,,,,Chennai,18-21,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van",Executive-Middle/ Senior management,Below 5 Lacs,"Single (includes divorced/ widowed), no kids ",,,0.025401205,0.619448066,0.35515067,0.010153002,0.261644989,0.728201985,0,0.528188825,0,0,0.528188825,0,Neutral,Positive,,
30,05-10-22 9:30,05-10-22 9:39,R_3JLBEXeJtOOjO4R,,,10,I trust the brand and it's very secure and safe,,,,,Kochi,22-25,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van",Executive-Middle/ Senior management,Below 5 Lacs,"Single (includes divorced/ widowed), no kids ",,,0,0.528188825,0,0.001519617,0.049853988,0.948626339,0,0.528188825,0,0,0.528188825,0,,Positive,,
31,05-10-22 9:32,05-10-22 9:39,R_2sXyma0CzxkLSkE,,,,,,,8,Godrej is the well known brand of security,New Delhi NCR,36-40,Female,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Colour TV,Refrigerator,Personal computer/ Laptop",Executive-Junior/ Supervisory,Below 5 Lacs,"Married, with kid(s)",10-15 years old,,0,0.528188825,0,0,0.528188825,0,0,0.528188825,0,0.046595808,0.838485181,0.114918992,,,,Neutral
32,05-10-22 9:32,05-10-22 9:39,R_eKzlhFr6jBxTZNT,6,this is what I heard about it,,,,,,,Chennai,26-30,Female,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,25-30 Lacs,"Married, with kid(s)",Below 10 years old,,0.097054102,0.838305414,0.064640477,0,0.528188825,0,0,0.528188825,0,0,0.528188825,0,Neutral,,,
33,05-10-22 9:31,05-10-22 9:40,R_C8D2Ke28FPD1NPr,,,9,Because i like that very much due to its best durability and toughness,10,Because they provide very modern and good looking furniture,,,New Delhi NCR,41-45,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,20-25 Lacs,"Married, with kid(s)","16-20 years old,Above 20 years old",,0,0.528188825,0,0.001749387,0.032146163,0.966104507,0.003583429,0.056770325,0.939646244,0,0.528188825,0,,Positive,Positive,
34,05-10-22 9:32,05-10-22 9:40,R_2zJ7SNuKjeRFK4s,,,10,Because it is a very good brand and trustworthy ,10,Because it is a very good brand and trustworthy ,,,Mumbai,26-30,Female,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner","Self-employed profession. Eg: Doctor, Lawyer, Chartered Accountant",15-20 Lacs,"Married, with kid(s)",Below 10 years old,,0,0.528188825,0,0.002960712,0.052654818,0.944384456,0.002960712,0.052654818,0.944384456,0,0.528188825,0,,Positive,Positive,
35,05-10-22 9:32,05-10-22 9:40,R_21ySbou1hkdVwk3,,,,,10,This is very trusted brand,,,New Delhi NCR,26-30,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop",Executive-Middle/ Senior management,5-10 Lacs,"Single (includes divorced/ widowed), no kids ",,,0,0.528188825,0,0,0.528188825,0,0.005233625,0.190202326,0.804563999,0,0.528188825,0,,,Positive,
