,StartDate,EndDate,ResponseId,Appliances-Score,Appliances-Text,Locks-Score,Locks-Text,Interio-Score,Interio-Text,Security-Score,Security-Text,City,Age,Gender,Education,NCCS categorization,Occupation,Household Income,Marrital Status,Household Ages,Household Volume
3,31-08-22 3:08,31-08-22 3:50,R_2PtDeOQ7jSZMkC8,,fthg,0,,0,,,,Kochi,41-45,Female,SSC / HSC,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Air Conditioner",Business owner or Industrialist with 1-49 employees,15-20 Lacs,"Single (includes divorced/ widowed), no kids ",,3 people
4,31-08-22 21:08,31-08-22 21:12,R_pmac3PtlCLpoOIx,,,,,,,,,Lucknow,36-40,Male,Graduation/ Post Graduation: Professional,"Ceiling Fan,Two-Wheeler,Refrigerator,Washing machine,Car/ Jeep/ Van,Air Conditioner",Business owner or Industrialist with 1-49 employees,20-25 Lacs,"Married, no kids ",,2 people
5,31-08-22 21:15,31-08-22 21:32,R_1QtsGGovmx38mZR,,,,,,,,,Ahmedabad,36-40,Male,Graduation/ Post Graduation: Professional,"LPG Stove/ Gas Connection,Two-Wheeler,Refrigerator,Washing machine,Car/ Jeep/ Van,Air Conditioner",Government official,15-20 Lacs,"Married, no kids ",,No one (living by myself)
6,31-08-22 21:40,31-08-22 21:45,R_1l47TTWYyoJNW1R,,as,9,,,,,,New Delhi NCR,41-45,Male,Some College (Incl Diploma) but not Grad ,"LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop",Business owner or Industrialist with 1-49 employees,15-20 Lacs,"Single (includes divorced/ widowed), no kids ",,2 people
7,01-09-22 4:07,01-09-22 4:47,R_1mJhQPJjVUyfvHU,7,dfgdfgdfg,,,8,,,,Bangalore,36-40,Female,Some College (Incl Diploma) but not Grad ,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Business owner or Industrialist with 1-49 employees,10-15 Lacs,"Single (includes divorced/ widowed), with kid(s)","10-15 years old,16-20 years old",2 people
8,01-09-22 4:50,01-09-22 9:48,R_3Je0gvT2Vv0amwj,,cxvxcv,9,,,,10,,Pune,46-50,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Personal computer/ Laptop",Business owner or Industrialist with 1-49 employees,15-20 Lacs,"Single (includes divorced/ widowed), no kids ",,2 people
9,01-09-22 20:52,01-09-22 21:03,R_1jVR9xGG6JpYQHe,,,,,,,,,New Delhi NCR,36-40,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator",Shop or Store Owner,15-20 Lacs,"Married, with kid(s)",16-20 years old,No one (living by myself)
10,01-09-22 21:03,01-09-22 21:04,R_3EKKsMo114DjfFP,,,,,,,,,Bangalore,36-40,Female,Graduation/ Post Graduation: Professional,"Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van",Business owner or Industrialist with 1-49 employees,15-20 Lacs,"Married, with kid(s)","10-15 years old,16-20 years old",No one (living by myself)
11,02-09-22 1:25,02-09-22 1:34,R_YbKM81o8AT1NLtn,,,,,8,,5,,Bangalore,31-35,Male,Literate but no formal school/ School up to 4 years,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van",Service (Rural or Urban),15-20 Lacs,"Married, no kids ",,1 person
12,04-09-22 21:44,04-09-22 21:48,R_SK1EI0VVAlmIXbb,9,,8,,,,,,Bangalore,36-40,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van",Executive-Junior/ Supervisory,25-30 Lacs,"Married, no kids ",,2 people
13,06-09-22 22:28,06-09-22 22:46,R_tSuutm1aZ4xugTf,9,hjhjhj,,,,,,,Pune,26-30,Female,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Air Conditioner",Importer or Trader,10-15 Lacs,"Married, no kids ",,1 person
14,08-09-22 3:13,08-09-22 3:15,R_3lVQ5VMBOvyyq9D,7,9+++,9,+,,,,,Kolkata,41-45,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator",Business owner or Industrialist with 1-49 employees,15-20 Lacs,"Married, with kid(s)",16-20 years old,2 people
15,19-09-22 4:08,19-09-22 4:17,R_1QlNDnRC2mHObt4,6,nknk,8,as,,,,,Mumbai,26-30,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Car/ Jeep/ Van,Air Conditioner",Executive-Junior/ Supervisory,15-20 Lacs,"Single (includes divorced/ widowed), with kid(s)",10-15 years old,No one (living by myself)
16,19-09-22 23:28,20-09-22 0:26,R_24zXcLDMoZVDYfT,,,,,9,as,9,no,Mumbai,26-30,Female,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Air Conditioner",Executive-Middle/ Senior management,15-20 Lacs,"Married, no kids ",,More than 4 people
17,26-09-22 14:58,26-09-22 15:06,R_30tMKkuccI5zKCU,9,asas,,,,,,,New Delhi NCR,26-30,Female,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Business owner or Industrialist with 1-49 employees,15-20 Lacs,"Single (includes divorced/ widowed), with kid(s)","10-15 years old,16-20 years old",
18,26-09-22 15:08,26-09-22 15:14,R_33fpczos0TZzrmQ,,,,,,,,,Mumbai,22-25,Female,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Business owner or Industrialist with 50 or more employees,10-15 Lacs,"Married, no kids ",,
19,03-10-22 22:16,03-10-22 22:27,R_2tL3R0MEkzfSJZU,9,jdjjdjdjjd,,,,,,,New Delhi NCR,26-30,Female,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Business owner or Industrialist with 1-49 employees,10-15 Lacs,"Married, no kids ",,
20,05-10-22 1:58,05-10-22 2:00,R_3HFV5exoRYXgLNx,,,,,,,,,Bangalore,36-40,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Business owner or Industrialist with 1-49 employees,10-15 Lacs,"Married, no kids ",,
