text,text.1,text.2,text.3
B2_1A,B2_1L,B2_1I,B2_1S
Why did you give this score to Godrej?A,Why did you give this score to Godrej?L,Why did you give this score to Godrej?I,Why did you give this score to Godrej & Boyce / Godrej?S
"{""ImportId"":""QID30071_TEXT""}","{""ImportId"":""QID30076_TEXT""}","{""ImportId"":""QID30077_TEXT""}","{""ImportId"":""QID30078_TEXT""}"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
123,,,
23,,,
,,,
9+++,+,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Nothing,,,Good service
,,"I like their product quality, always feel very strong and durable at a reasonable price
",
,,Because it gives me good services,It have capacity
,Its a trustable brand,,Very nice company
good product,,good product,
because of its durability,,,
,,,
It is a premium brand .,It is high quality brand ,,
,I trust the brand and it's very secure and safe,,
,,,Godrej is the well known brand of security
this is what I heard about it,,,
,Because i like that very much due to its best durability and toughness,Because they provide very modern and good looking furniture,
,Because it is a very good brand and trustworthy ,Because it is a very good brand and trustworthy ,
,,This is very trusted brand,
Service & availability is poor.,,,
,,Because I use Godrej ,Because I like it as I use it.
It is best quality products ,,,This is best quality product
,,Because it’s so nice ,
,,Godrej is having good range of furnitures but little overpriced,It has wonderful and effective security locks
"Because it is bad
",,,Because its build quality is too good. 
,,"Because it is long durable, rang also reason able. ",
Because it is a very good company and i like this compaany very much,,,
,,,
"because of it's after sales services, not having wide range of products",,"doesn't have good design, very old fashioned, quality not good",
7,,,"The new version is a very good thing for a while, but I "
Because I have used it's products and according to my experience I have rated it,,,Because I like its products and services 
I prefer other brands,,,
"I heard from my friend, personally don't used.",,I personally don't used ,
Their products are good but lack in finish look.,,,Godrej is No. 1 in Safe and Security Product.
it is a reputed company,,it is safe and secure,
Vdvdv dvdvdv fbfbfb f fbdvdvcfbfbd C fbfh,,,
,"It is robust. It has evolved from simply a lock to a secure and modern age lock. Easily accessible, easily maintainable, easily serviceable.",,It is easy to install and use. It is easily robust and strong.
